108-174-10-10.fwd.linkedin.com.	['linkedin.com']
166-22.amazon.com.	['imdb.com']
186-192-90-5.ptr.globo.com.	['globo.com']
200-147-67-142.static.uol.com.br.	['uol.com.br']
200.180.127.124.broad.bj.bj.static.163data.com.cn.	['chinadaily.com.cn']
206-80.amazon.com.	['imdb.com']
210-29.amazon.com.	['imdb.com']
26.93.adb8.ip4.static.sl-reverse.com.	['whatsapp.com']
27.93.adb8.ip4.static.sl-reverse.com.	['whatsapp.com']
66.52.2ca9.ip4.static.sl-reverse.com.	['whatsapp.com']
a-0001.a-msedge.net.	['bing.com']
a23-204-156-67.deploy.static.akamaitechnologies.com.	['diply.com']
airsupportapp.com.	['apple.com', 'apple.com']
airtunes.info.	['apple.com', 'apple.com', 'apple.com']
alchemysynth.com.	['apple.com', 'apple.com', 'apple.com']
apple-darwin.com.	['apple.com', 'apple.com']
apple-darwin.net.	['apple.com', 'apple.com']
apple-darwin.org.	['apple.com', 'apple.com']
apple-enews.com.	['apple.com', 'apple.com']
apple-inc.net.	['apple.com', 'apple.com']
apple.by.	['apple.com', 'apple.com', 'apple.com']
apple.com.	['apple.com', 'apple.com', 'apple.com']
applecarbon.com.	['apple.com', 'apple.com']
applecare.cc.	['apple.com', 'apple.com']
applecentre.info.	['apple.com', 'apple.com', 'apple.com']
applecomputer-imac.com.	['apple.com', 'apple.com']
applecomputerimac.com.	['apple.com', 'apple.com']
applecomputerinc.info.	['apple.com', 'apple.com', 'apple.com']
appledarwin.com.	['apple.com', 'apple.com']
appledarwin.net.	['apple.com', 'apple.com']
appledarwin.org.	['apple.com', 'apple.com']
appleenews.com.	['apple.com', 'apple.com']
appleexpo.info.	['apple.com', 'apple.com', 'apple.com']
applefilmaker.com.	['apple.com', 'apple.com']
applefilmmaker.com.	['apple.com', 'apple.com']
applefinalcutproworld.com.	['apple.com', 'apple.com']
applefinalcutproworld.net.	['apple.com', 'apple.com']
applefinalcutproworld.org.	['apple.com', 'apple.com']
appleiphone.com.	['apple.com', 'apple.com']
appleipodsettlement.com.	['apple.com', 'apple.com']
appleiservices.com.	['apple.com', 'apple.com']
applemasters.info.	['apple.com', 'apple.com', 'apple.com']
applepay.info.	['apple.com', 'apple.com', 'apple.com']
applepaymerchantsupplies.info.	['apple.com', 'apple.com', 'apple.com']
applepaysupplies.info.	['apple.com', 'apple.com', 'apple.com']
applereach.com.	['apple.com', 'apple.com']
applereach.net.	['apple.com', 'apple.com']
apples-msk.ru.	['apple.com', 'apple.com', 'apple.com']
applescript.info.	['apple.com', 'apple.com', 'apple.com']
appleshare.info.	['apple.com', 'apple.com', 'apple.com']
appleweb.net.	['apple.com', 'apple.com', 'apple.com']
applexpo.com.	['apple.com', 'apple.com']
applexpo.net.	['apple.com', 'apple.com']
appmediagroup.com.	['apple.com', 'apple.com']
asto.re.	['apple.com', 'apple.com']
b2.54.2ca9.ip4.static.sl-reverse.com.	['whatsapp.com']
befr.ebay.be.	['ebay.co.uk', 'ebay.co.uk']
benl.ebay.be.	['ebay.co.uk', 'ebay.co.uk', 'ebay.co.uk']
braeburncapital.com.	['apple.com', 'apple.com']
burstly.net.	['apple.com', 'apple.com']
burstlyrewards.com.	['apple.com', 'apple.com']
buymicrosoft.biz.	['live.com']
buymicrosoft.info.	['live.com']
buymicrosoft.org.	['live.com']
buymicrosoft.us.	['live.com']
ca.d4.9bc0.ip4.static.sl-reverse.com.	['whatsapp.com']
camelphat.com.	['apple.com', 'apple.com', 'apple.com']
camelspaceeffect.com.	['apple.com', 'apple.com', 'apple.com']
carbonapi.com.	['apple.com', 'apple.com']
carbondating.com.	['apple.com', 'apple.com']
carbontest.com.	['apple.com', 'apple.com']
cb.d4.9bc0.ip4.static.sl-reverse.com.	['whatsapp.com']
central-hotmail.biz.	['live.com']
central-hotmail.com.	['live.com']
central-hotmail.info.	['live.com']
central-hotmail.net.	['live.com']
central-hotmail.org.	['live.com']
central-hotmail.us.	['live.com']
coccoc.com.	['coccoc.com']
cp.mail.ru.	['mail.ru']
darwincode.com.	['apple.com', 'apple.com']
darwinsource.com.	['apple.com', 'apple.com']
darwinsource.org.	['apple.com', 'apple.com']
darwinsourcecode.com.	['apple.com', 'apple.com']
desktopmovie.com.	['apple.com', 'apple.com']
desktopmovie.net.	['apple.com', 'apple.com']
desktopmovie.org.	['apple.com', 'apple.com']
desktopmovies.net.	['apple.com', 'apple.com']
desktopmovies.org.	['apple.com', 'apple.com']
developercentral.com.	['apple.com', 'apple.com']
dfw06s46-in-f14.1e100.net.	['google.com', 'google.com', 'youtube.com', 'youtube.com']
dfw06s46-in-f162.1e100.net.	['googleadservices.com', 'googleadservices.com']
dfw06s46-in-f174.1e100.net.	['google.com', 'google.com', 'youtube.com', 'youtube.com']
dfw06s46-in-f2.1e100.net.	['googleadservices.com', 'googleadservices.com']
dfw25s07-in-f1.1e100.net.	['googleweblight.com', 'googleweblight.com']
dfw25s07-in-f105.1e100.net.	['blogspot.com', 'blogspot.com', 'blogger.com', 'blogger.com']
dfw25s07-in-f110.1e100.net.	['doubleclick.net', 'doubleclick.net']
dfw25s07-in-f14.1e100.net.	['doubleclick.net', 'doubleclick.net']
